305,11:12:13,1:2:7:8:9,,1:2,4:5:6:7:8:9,,
310,1:2:3:4:5:6:7:8,1:2:5:6:7,1:2:3:4:5:6:7:8,1:2:5:6:7,4:7:8:9,1:2:3:6:7:8,
311,1:2:3:4:6:7,2:3:5:6:7:8,1:2:3:4:6:7:8:9,2:3:5:6:7:8,,1:2:3:5:6:7:8:9:10,
312,1:2:3:4:5:6:7:8:9,1:2:3:4:9:10,1:2:3:5:7,1:2:3:5:6:7:8,1:2:3:4:5:6:10,1:2:3:4:5:6,
315,1:2:4:5:6:7:8:9,1:2:3:4:6:7:8,1:2:3:4:5:6:7,2:4:5:6:8,10,4:5:6:7:8:9,
316,1:3:4:6:7:8:9,1:2:3:4:6:7:8,1:2:3:4:5:6:7:8:9,2:3:5:6:7:8,1:2:3,1:2:3:5:6,
321,3:4:9,3:5:6:7:8:9,2:3:7:8:9,3:4:5:6:7:8:9,7:8:9,,
412,2:3:4:6:7:8,1:2:3:5:6:7:8,2:3:4:6:7:8:9,1:2:3:5:6:7:8,1:2:3:4:5:6,,
414,0:1:2:5:6:7:8:9,0:1:2:3:4:5:6:7:8,1:2:3:4:5:6:7:8:9,1:2:3:6:7:8:9,1:2:3:4:5:6:7:8,,
417,1:2:3:4:5:6:7:8,3:5:6:7:8:9,1:2:3:4:5:6,3:4:6,,3:4:5:9:10,
418,3:4:5:6:7:8:9,3:4:5:6:7:8,1:2:3:5:6:7:8:9,3:5:6:7:8:9,0:1:2,6:7,
419,1:2:3:5:6:7:8:9,2:3:5:6:7:8:9,1:2:3:5:6:7:8,2:3:5:6:7:8,1:2:3:4:5:6,1:2:9:10,
420,2:3:5:6:7:8:9,2:3:5:6:7:8:9,2:3:5:6:7:8:9,2:3:5:6:7:8:9,,3:4:5:6:7:8:9:10,
421,7:8:9,,1:2:3:4:7:8:9:10:11,4:5:6:7:8:9,1:2:3,,
422,1:2:3:4:7:8:9,7:8:9,1:2:3:5:6:7:8:9,,5,,
502,4:7:8:9,3:4:7:8,5:6:7:8,1:2:3:7:8:10:11:12,1:2:4,1:2:3:4,
503,2:3:4:7:8:9,2:3:5:6,2:3:5:6:7:8:9:10:11:12,2:3:4:5:6,1:2:3,,
505,2:3,4:5:6,2:3:7:8:9,2:3,1:2:3:4:5:6,,
513,,2:3:4:5:6:7:8,7:8,2:3:4:5:6,1:2:3:4:5:6,,
514,1:2:3:4:6:7:8:9:10:11:12:13:14,1:2:3:5:6,0:1:2:3:5:6:7,3:4:5:6:7:8,3:4:7:8:9:10,,
517,1:2:3:4:7:8:9:10,3:4:5:6:7:8:9,1:4:5:6:9:10:11:12:13:14,1:2:5:6:7:8,1:2:3:4:7:8:9:10,1:2:3:4:5:6,
518,3:4:7:8:9,3:4:5:6:9:10:11:12:13:14,1:2:3:5:7,3:6:7:8,5:6:7:8:9:10,,
519,3:4:6:7:9,3:4:5:6:7:8,3:5:6:7:8,8:9:10:11:12:13:14,10:3,1:2:3:4:5:6,
520,2:3:4:5:6:7,6:7:8,0:1:2:3:4:5:6:7:8,1:2:3:4:5:6:7,10,,
521,3:4:5:6,1:2:3:4:7:8,1:2:3:4:7:8:9,5:6:7:8,1:2,,
523,3:4:5:7:8:9,1:2:3:4:5:6:7:8:9:10,1:2:3:4:5:6:7:8:9,1:2:3,5:6:7:8:9:10,,
601,4:5:6,5:7:8,5:6:7:8,4:5:6:7:8,3,,
602,7:8:9,5:6,5:6:7:8,5:6:7:8:9,,,
603,2:3:7:8:9,5:6,2:3:4:5:6:7:8:9,5:6:7,4:5:6:7:8:9,,
605,1:2:3:7:8:9,11:12:13,7:8:9,4:5:6:7:8:9,4:5:6:7:8:9:11:12:13,,
611,5:6:8:9,1:2:5:6,1:2:3:4:5:6:7:8,1:2:5:6,4:5:6:7:8:9,,
612,7:8,2:3:5:6:7:8:9,4:5:6:7:8,2:3:5:6,3:4:5:6,,
613,1:2:4:7:8,2:3:4:5:6:7:8,1:2:5:6:7:8:9,4,5:6,,
616,1:2:4:5:6:7:8:9,1:2:3:4:5:6,1:2:3:5:7:8:9,5,5:6:7:8,,
617,3:5:6:7:8,1:2:3:4:5:6:7:8,3:4:6:8,3:4:7:8:9,1:2:3,,
618,7:8,1:2:3:4:5:7:8,1:2:3:4:5:6:7:8,2:7:8,3:4:6:7:8:9,,
619,7:8,1:2:5:6:7:8:9,,2:3:4:6:7:8,5:6,,
620,1:2:3:4:5:6:7:8:10:11,3:4:7:8,3:4:7:8:9,7:8:9,4,,
622,5,3:4:5:6:7:8:9,3:4:5:6,3:4:7:8:9,3:4,,
701,7:8:9,5:6:7:8:9:10,1:2:4:5:6:7:8,1:2:5:6:7:8:9:10,4:5:6,,
702,2:3:5:6:7:8:9,2:3:5:6:7:8:9,2:3:5:6:7:8:9,2:3:5:6:7:8:9,4:5:6,,
703,2:3:5:6:7:8:9,4:5:6:7:8,2:3:5:6:7:8:9,7:8,1:2:3:4,,
704,4:5:6:7:8:9,1:2:5:6:7:8,4:5:6:8:9,1:2:5:6:7:8,1:2:3:4:5:6:7:8:9,,
705,2:3:7:8,2:3:7:8:9,2:3:7:8,2:3:7:8:9,1:2:3,,
721,2:3:5:6:7:8:9,1:2:3:4:5:6:7:8:9:11:12:13,1:2:3:5:6:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,1:2:3:7:8:9:11:12:13,,
722,5:6:7:8,1:2:3:5:6:7:8:9,3:4:5:6:7:8,1:2:3:5:6:7:8:9,,,
723,1:2:4:5:6:7:8,5:6:7:8:9,2:3:4:5:8,3:4:5:6:7:8,6:7:8,,
726,1:2:3:5:6:7:8:9,3:4:5:6:8,3:4:5:6:7:8:9:10,3:7:8:10:11,4:5:6,,
727,3:4:5:6:7:8,1:2:3:5:6:7:8,1:2:4:5:6:7:8,2:3:4:5,4:5:6,,
728,3:4:5:6:7,3:5:6:7:8,1:2:3:4:5:6:7:8,3:4:5:6:7:8,3:4:5:6:7:8:9,,
729,2:3,2:3:6,4:5:6:8:9:10,2:3:4:5:6,3:4:5,,
730,2:3:7:8,6:7:8:9:10:11:12,2:3:7:8,6:7:8:9:10:11:12,4:5:6:7,,
731,5:6:7:8,3:4:5:6,5:6:7:8,3:5:6,5:6:7:8:9,,
801,4:5:6:7:8,1:2:3:7:8:9,1:2:3:7:8,1:2:3:7:8,3:4:5:6,1:2:3,
802,2:3:4:5:6,2:3:5:6,2:3:4:5:6:7:8:9,2:3:4:5:6:7:8,1:2:3:4:7:8:9,1:2:3:4,
803,6,2:3:5:6:7:8,1:2:3:4:7:8:9:11:12:13,2:3:4:5:6:7:8,1:2:3:4:5:6,1:2:3:4,
804,1:2:5:6:7:8:11:12:13,2:3:11:12:13,1:2:5:6:7:8:10:11,2:3:4:5:6:11:12:13,1:2:3,,
818,5:6:7:8:9,1:2:3:4:5:6:7:8:9,5:6:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9,3:4,
819,2:3:5:6:7:8:11:12:13,2:3:4:5:6:7:8:9,2:3:5:6:7:8:11:12:13,4:5:6:7:8:9:11:12:13,3:4:5:6:7:8:9:11:12:13,1:2:3:4:5:6:7,
920,1:2:3:4:7:8:9:11:12:13,3:4:5:6:7:8:9:11:12:13,3:4:5:7:8:11:12:13,3:4:5:6:7:8:9:11:12:13,1:2:3:7:8:9:11:12:13,1:2:3:5:6:7:8:9:10,
921,6:7:8:9:11:12:13,3:4:5:6:7:8,1:2:3:6:7:8:9:11:12:13,3:4:7:8,1:2:3:4:5:6:7:8:9:11:12:13,4:5:6:7:8:9:11:12:13,
922,3:4:5:6:7:11:12:13,3:4:7:8:9:11:12:14,3:4:5:6:7:11:12:13,3:4:5:6:7:8:9:11:12:13,1:2:3:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9:10,
925,1:2:3:4:5:6:7:8:11:12:13,1:2:3:5:6:7:8:11:12:13,1:2:3:5:6:7:8:11:12:13,1:2:3:4:5:6:7:8:11:12:13,1:2:3:7:8:9:11:12:13,1:2:3:5:6:7:8:9,
926,1:2:3:4:5:6:11:12:13,2:3:5:6:7:8:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,2:3:4:5:6:7:8:11:12:13,1:2:3:11:12:13,1:2:3:5:6:7,
927,2:3:5:6:7:8:11:12:13,5:6:7:8:11:12:13,2:3:5:6:7:8:11:12:13,1:2:3:5:6:7:8:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,1:2:3:5:6:7:8:9:10,
928,2:3:5:6:7:8:11:12:13,2:3:5:6:11:12:13,2:3:5:6:7:8:11:12:13,2:3:5:6:7:8,1:2:3:4:5:6,1:2:3:5:6:7,
932,1:2:3:7:8,5:6,1:2:3:7:8,5:6:7:8:9,1:2:3:4:5:6,,
B501,2:4:5:6,1:2:3:4:5:6:7:8:9,5:6:7:8:9,,,,
B502,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,3:4:5:6:7:8,,,
B601,1:2:3:4:5:6:7:8:9,3:4:5:6:7:8,3:4:5:6:7:8:9,1:2:4:5:6:7:8:9,4:5:6,,
B602,4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,4:5:6,,
B603,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9:10,1:2:3:4:5:6:7:8:9:10,1:2:3:4:5:6,,